"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"9","新湖期货","13,554","-5,169","永安期货","15,345","-2,916","鲁证期货","11,950","8"
"10","宏源期货","11,578","-1,764","光大期货","12,749","-240","建信期货","10,414","37"
"11","银河期货","9,304","-1,520","银河期货","10,623","-205","东兴期货","10,241","-79"
"12","东方财富","9,162","-2,901","国泰君安","10,424","64","宏源期货","9,653","-881"
"13","鲁证期货","8,902","-4,574","兴证期货","10,166","1,385","国投安信期货","9,471","-499"
"14","海证期货","8,839","-1,321","海通期货","9,956","176","银河期货","9,112","-115"
"15","中粮期货","8,374","-2,819","大地期货","8,806","288","国泰君安","8,642","396"
"16","上海大陆","8,158","2,576","广发期货","8,612","-58","永安期货","8,188","201"
"17","东吴期货","7,638","-5,968","华信期货","8,574","-74","中州期货","7,750","-95"
"18","浙商期货","7,534","-3,792","渤海期货","7,843","13","渤海期货","7,642","64"
"19","方正中期","7,511","-4,369","德盛期货","6,879","-55","金瑞期货","7,006","97"
"20","国贸期货","7,273","-2,232","国投安信期货","6,840","-109","华安期货","6,833","-516"
"合计","","331,478","-130,116","","272,524","-1,124","","303,276","-691"
"品种：PTA     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","148,063","-40,993","华泰期货","57,517","-2,632","中信期货","69,454","-1,639"
"2","永安期货","62,654","22,602","银河期货","44,288","1,212","永安期货","64,251","-19,447"
"3","华泰期货","59,875","572","中信期货","38,473","-1,429","华泰期货","55,806","-17,743"
"4","广发期货","54,459","-7,930","广发期货","38,473","-285","银河期货","50,800","650"
"5","海通期货","45,242","-11,822","永安期货","38,255","-3,445","宏源期货","46,887","148"
"6","中信期货","45,118","-1,240","光大期货","34,348","-767","建信期货","39,884","1,498"
